age,job,marital,education,default,balance,housing,loan,contact,date,duration,campaign,pdays,previous,poutcome,Purchased?
58,management,married,tertiary,no,2143,yes,no,unknown,5/5/2017,261,1,-1,0,unknown,no
44,technician,single,secondary,no,29,yes,no,unknown,5/5/2017,151,1,-1,0,unknown,no
33,entrepreneur,married,secondary,no,2,yes,yes,unknown,5/5/2017,76,1,-1,0,unknown,no
47,blue-collar,married,unknown,no,1506,yes,no,unknown,5/5/2017,92,1,-1,0,unknown,no
33,unknown,single,unknown,no,1,no,no,unknown,5/5/2017,198,1,-1,0,unknown,no
35,management,married,tertiary,no,231,yes,no,unknown,5/5/2017,139,1,-1,0,unknown,no
28,management,single,tertiary,no,447,yes,yes,unknown,5/5/2017,217,1,-1,0,unknown,no
42,entrepreneur,divorced,tertiary,yes,2,yes,no,unknown,5/5/2017,380,1,-1,0,unknown,no
58,retired,married,primary,no,121,yes,no,unknown,5/5/2017,50,1,-1,0,unknown,no
43,technician,single,secondary,no,593,yes,no,unknown,5/5/2017,55,1,-1,0,unknown,no
41,admin.,divorced,secondary,no,270,yes,no,unknown,5/5/2017,222,1,-1,0,unknown,no
29,admin.,single,secondary,no,390,yes,no,unknown,5/5/2017,137,1,-1,0,unknown,no
53,technician,married,secondary,no,6,yes,no,unknown,5/5/2017,517,1,-1,0,unknown,no
58,technician,married,unknown,no,71,yes,no,unknown,5/5/2017,71,1,-1,0,unknown,no
57,services,married,secondary,no,162,yes,no,unknown,5/5/2017,174,1,-1,0,unknown,no
51,retired,married,primary,no,229,yes,no,unknown,5/5/2017,353,1,-1,0,unknown,no
45,admin.,single,unknown,no,13,yes,no,unknown,5/5/2017,98,1,-1,0,unknown,no
57,blue-collar,married,primary,no,52,yes,no,unknown,5/5/2017,38,1,-1,0,unknown,no
60,retired,married,primary,no,60,yes,no,unknown,5/5/2017,219,1,-1,0,unknown,no
33,services,married,secondary,no,0,yes,no,unknown,5/5/2017,54,1,-1,0,unknown,no
28,blue-collar,married,secondary,no,723,yes,yes,unknown,5/5/2017,262,1,-1,0,unknown,no
56,management,married,tertiary,no,779,yes,no,unknown,5/5/2017,164,1,-1,0,unknown,no
32,blue-collar,single,primary,no,23,yes,yes,unknown,5/5/2017,160,1,-1,0,unknown,no
25,services,married,secondary,no,50,yes,no,unknown,5/5/2017,342,1,-1,0,unknown,no
40,retired,married,primary,no,0,yes,yes,unknown,5/5/2017,181,1,-1,0,unknown,no
44,admin.,married,secondary,no,-372,yes,no,unknown,5/5/2017,172,1,-1,0,unknown,no
39,management,single,tertiary,no,255,yes,no,unknown,5/5/2017,296,1,-1,0,unknown,no
52,entrepreneur,married,secondary,no,113,yes,yes,unknown,5/5/2017,127,1,-1,0,unknown,no
46,management,single,secondary,no,-246,yes,no,unknown,5/5/2017,255,2,-1,0,unknown,no
36,technician,single,secondary,no,265,yes,yes,unknown,5/5/2017,348,1,-1,0,unknown,no
57,technician,married,secondary,no,839,no,yes,unknown,5/5/2017,225,1,-1,0,unknown,no
49,management,married,tertiary,no,378,yes,no,unknown,5/5/2017,230,1,-1,0,unknown,no
60,admin.,married,secondary,no,39,yes,yes,unknown,5/5/2017,208,1,-1,0,unknown,no
59,blue-collar,married,secondary,no,0,yes,no,unknown,5/5/2017,226,1,-1,0,unknown,no
51,management,married,tertiary,no,10635,yes,no,unknown,5/5/2017,336,1,-1,0,unknown,no
57,technician,divorced,secondary,no,63,yes,no,unknown,5/5/2017,242,1,-1,0,unknown,no
